Date,Open,High,Low,Close,EMA,RSI,BB_middle,BB_std,BB_upper,BB_lower,MACD,MACD_Signal,MACD_Histogram,USD,DowJones,NASDAQ,SP500,KOSPI,KOSDAQ,Gold,WTI,Treasury5Y,usdkrw,jpykrw,eurkrw
2023-11-15,-0.011242737,-0.016467917,-0.007446493,-0.011242737,-0.001348721,-0.25533468,-0.001825795,0.032542519,-0.00082175,-0.002892145,0.108611709,0.134836267,0.057207159,0.002689444,0.004694876,0.000671187,0.001597012,0.021954177,0.019101223,-0.000866588,-0.020444646,0.023750283,-0.011242737,-0.003568266,0.005168968
2023-11-16,-0.001824821,0.00116213,-0.004663884,-0.001824821,-0.001378835,-0.045147329,-0.001977344,0.019600717,-0.001325907,-0.002670642,0.086262041,0.120504321,0.014212842,-0.000191551,-0.001307248,0.000696979,0.001190427,0.000607238,0.002162202,0.012142262,-0.049047767,-0.021652673,-0.001824821,-0.006623956,-0.005339379
2023-11-17,-0.007228146,-0.007018008,0.001336533,-0.007228146,-0.001748655,-0.170788505,-0.002397813,0.029789125,-0.001405735,-0.003455065,0.126894021,0.122332003,0.137498952,-0.005269742,5.19E-05,0.000836816,0.001282049,-0.00736683,-0.014856185,-0.001159357,0.041015047,0.006097561,-0.007228146,-0.003921313,-0.00781499
2023-11-20,0.001586173,-0.001492024,-0.00238237,0.001586173,-0.001538969,0.11980147,-0.002066666,0.020973161,-0.00133434,-0.002848707,0.062120524,0.10503936,-0.036318932,-0.00337121,0.005830434,0.01125978,0.007390278,0.00864425,0.017545616,-0.001968119,0.0225326,-0.003142536,0.001586173,0.00756461,-0.017011306
2023-11-21,-0.00490535,-0.003881786,-0.001392441,-0.00490535,-0.001751301,-0.128253594,-0.001748067,0.055520359,0.000112883,-0.003738368,0.077317079,0.097386794,0.024532522,0.000966454,-0.001785153,-0.005918977,-0.002020931,0.007715157,0.004833473,0.010921828,0.002190709,-0.004953839,-0.00490535,0.004838713,0.021170716
2023-11-22,0.005465137,0.009255299,0.005974718,0.005465137,-0.001297568,0.42362651,-0.001832846,0.005037046,-0.00159724,-0.002085803,0.000695361,0.071183859,-0.197876598,0.003379338,0.005265067,0.004639435,0.004061129,0.000509875,-0.002937541,-0.003951395,-0.008615135,0.004752206,0.005465137,0.006897177,0.002840465
2023-11-23,0.00277959,-0.002359707,0.003058611,0.00277959,-0.001039481,0.139255078,-0.00204238,-0.040522178,-0.003370833,-0.000615399,-0.033406972,0.044705356,-0.327268059,0,0,0,0,0.001297926,0.001681786,5.02E-05,-0.009727627,0,0.002779591,-0.008147512,-0.000637312
2023-11-24,0.001070238,0.004553873,0.001103973,0.001070238,-0.000905424,0.048611896,-0.001904903,-0.052476336,-0.003585719,-0.000104403,-0.04748389,0.023111514,-0.459914322,-0.005003811,0.003320304,-0.001052214,0.000596874,-0.007288386,-0.00120101,0.00537281,-0.010608998,0.011711712,0.001070238,0.002041241,0.002699642
2023-11-27,-0.007991212,-3.83E-05,0.000470377,-0.007991212,-0.001356564,-0.221942173,-0.002489549,-0.078319023,-0.00488619,6.88E-05,0.020249638,0.02248742,-0.004516165,-0.001934284,-0.001601567,-0.000689789,-0.001954157,-0.000388524,-0.005828221,0.004794775,-0.009001853,-0.017586821,-0.007991212,-0.007603269,0.007504607
2023-11-28,0.009877569,-0.00775939,-0.009495894,0.009877569,-0.000646058,0.484430267,-0.001737077,-0.100918821,-0.004640461,0.001346862,-0.080819107,8.51E-06,-0.999613048,-0.004360436,0.00236353,0.002860767,0.000980119,0.010458155,0.007639617,0.013868129,0.020705356,-0.028778609,0.009877569,0.017602574,0.001578117
2023-11-29,-0.011516049,-0.003297581,0.000233485,-0.011516049,-0.001340774,-0.245082473,-0.002393119,-0.132683291,-0.005838231,0.001244356,0.028560577,0.005719118,671.0384256,0.000194618,0.000379519,-0.001629318,-0.000946249,-0.000773269,0.007348978,0.003627997,0.018976533,-0.015632291,-0.011516049,-0.002152231,-0.008151271
2023-11-30,0.000644611,0.019039156,0.000420136,0.000644611,-0.001215178,0.026210058,-0.002278207,-0.20856268,-0.007036804,0.002710552,0.004504023,0.005470571,-0.037988367,0.00710327,0.014689883,-0.002263249,0.003784073,0.00614332,0.011234862,-0.004396463,-0.0244028,0.018724816,0.000644611,0.000882965,-0.000225893
2023-12-01,0.006442337,-0.007934644,0.006858807,0.006442337,-0.00072986,0.24637836,-0.001421182,-0.198564991,-0.005045938,0.002341956,-0.066175389,-0.00917047,-2.685498278,-0.002222251,0.008194773,0.005539809,0.005873742,-0.011943407,-0.005338592,0.016142498,-0.024881504,-0.033038623,0.006442337,-0.000269528,-0.000586197
